ID,Type,Time,Amount,Comment
19649241,Deposit,2014.12.24 10:38:19,10 000 000.00,
20688743,Close trade,2015.01.08 19:49:54,-20 857.30,Profit of position #25940292
20690327,Close trade,2015.01.08 20:27:52,-147 228.00,Profit of position #25942752
20690330,Close trade,2015.01.08 20:27:58,-152 135.60,Profit of position #25942757
20690572,Close trade,2015.01.08 20:32:03,-44 168.40,Profit of position #25942168
20694855,Close trade,2015.01.08 22:16:51,-7 797.92,Profit of position #25943034
20694858,Close trade,2015.01.08 22:16:51,-5 899.74,Profit of position #25945125
20739521,Close trade,2015.01.09 07:21:27,-18 713.23,Profit of position #25999680
20755595,Close trade,2015.01.09 09:48:26,-3 681.24,Profit of position #26005262
20763875,Close trade,2015.01.09 10:39:47,405 336.20,Profit of position #25998424
20783581,Close trade,2015.01.09 12:08:30,625 943.40,Profit of position #26037283
20789340,Close trade,2015.01.09 12:42:59,-142 051.14,Profit of position #26045055
20789342,Commission,2015.01.09 12:42:59,-49 373.77,Commission of position #26045055
20789996,Close trade,2015.01.09 12:48:38,-8 977.98,Profit of position #26050773
20789998,Commission,2015.01.09 12:48:38,-9 868.36,Commission of position #26050773
20793519,Close trade,2015.01.09 13:12:32,-2 008 870.14,Profit of position #26043075
20806527,Close trade,2015.01.09 15:39:32,-326 710.96,Profit of position #26066458
20807938,Close trade,2015.01.09 15:58:28,-6 024.35,Profit of position #26069402
20807940,Commission,2015.01.09 15:58:28,-9 851.12,Commission of position #26069402
20807941,Close trade,2015.01.09 15:58:29,6 267.39,Profit of position #26068763
20807943,Commission,2015.01.09 15:58:29,-9 839.52,Commission of position #26068763
20808638,Close trade,2015.01.09 16:10:35,-304 291.35,Profit of position #26071903
20808890,Close trade,2015.01.09 16:13:04,-276 628.50,Profit of position #26072035
20810369,Close trade,2015.01.09 16:37:33,21 505.75,Profit of position #26074462
20810371,Commission,2015.01.09 16:37:33,-9 835.68,Commission of position #26074462
20832738,Close trade,2015.01.12 00:02:53,-65 653.16,Profit of position #26102641
20836561,Close trade,2015.01.12 01:31:43,-179 562.63,Profit of position #26103392
20844293,Close trade,2015.01.12 04:12:37,50 139.12,Profit of position #26102653
20844296,Close trade,2015.01.12 04:12:37,42 028.38,Profit of position #26103172
20844299,Close trade,2015.01.12 04:12:37,42 028.38,Profit of position #26103168
20845733,Close trade,2015.01.12 04:41:01,-57 784.62,Profit of position #26104767
20845935,Close trade,2015.01.12 04:41:56,-26 925.17,Profit of position #26104778
20868756,Close trade,2015.01.12 08:25:46,-290 410.75,Profit of position #26142075
20869627,Close trade,2015.01.12 08:37:42,-72 337.86,Profit of position #26144703
20877084,Close trade,2015.01.12 09:41:48,-420 795.53,Profit of position #26146204
20885022,Close trade,2015.01.12 10:16:14,-77 035.44,Profit of position #26162963
20888823,Close trade,2015.01.12 10:44:13,-59 214.84,Profit of position #26164768
20888825,Commission,2015.01.12 10:44:13,-22 267.85,Commission of position #26164768
20890153,Close trade,2015.01.12 10:56:11,-20 611.34,Profit of position #26168299
20890155,Commission,2015.01.12 10:56:11,-22 243.89,Commission of position #26168299
20897163,Close trade,2015.01.12 11:46:49,-117 537.86,Profit of position #26079835
20897164,Swap,2015.01.12 11:46:49,-5 463.99,Swap of position #26079835
20897165,Commission,2015.01.12 11:46:49,-39 471.72,Commission of position #26079835
20898533,Close trade,2015.01.12 11:50:35,-25 778.85,Profit of position #26170171
20898535,Commission,2015.01.12 11:50:35,-22 254.22,Commission of position #26170171
20898536,Close trade,2015.01.12 11:50:35,-20 623.08,Profit of position #26179491
20898538,Commission,2015.01.12 11:50:35,-22 255.32,Commission of position #26179491
20898986,Close trade,2015.01.12 11:52:22,868.35,Profit of position #26076039
20898987,Swap,2015.01.12 11:52:22,-235.32,Swap of position #26076039
20898988,Commission,2015.01.12 11:52:22,-9 846.88,Commission of position #26076039
20899132,Close trade,2015.01.12 11:54:40,1 533.59,Profit of position #26076843
20899133,Swap,2015.01.12 11:54:40,-450.01,Swap of position #26076843
20899134,Commission,2015.01.12 11:54:40,-9 847.28,Commission of position #26076843
20899568,Close trade,2015.01.12 11:57:29,-124 001.66,Profit of position #26179735
20899570,Commission,2015.01.12 11:57:29,-38 116.85,Commission of position #26179735
20948121,Close trade,2015.01.12 20:55:57,-70 440.62,Profit of position #26231790
20948990,Close trade,2015.01.12 21:08:35,-21 492.33,Profit of position #26235299
20951414,Close trade,2015.01.12 21:49:19,-223 005.67,Profit of position #26236205
20980340,Close trade,2015.01.13 05:15:04,-274 406.59,Profit of position #26193931
20980341,Swap,2015.01.13 05:15:04,-1 672.95,Swap of position #26193931
20980342,Commission,2015.01.13 05:15:04,-38 187.85,Commission of position #26193931
21023719,Close trade,2015.01.13 11:33:53,-318 954.01,Profit of position #26319705
21023722,Close trade,2015.01.13 11:33:53,340 162.06,Profit of position #26250076
